Wavelength (nm),Power (dBm)
744,-6.2449e+01
744.05,-6.1844e+01
744.0999999999999,-6.1568e+01
744.1499999999999,-6.2118e+01
744.1999999999998,-6.1029e+01
744.2499999999998,-6.1746e+01
744.2999999999997,-6.0405e+01
744.3499999999997,-6.1221e+01
744.3999999999996,-6.1325e+01
744.4499999999996,-6.0675e+01
744.4999999999995,-6.0565e+01
744.5499999999995,-6.0904e+01
744.5999999999995,-6.1107e+01
744.6499999999994,-6.1325e+01
744.6999999999994,-6.0904e+01
744.7499999999993,-6.1785e+01
744.7999999999993,-6.1373e+01
744.8499999999992,-6.0825e+01
744.8999999999992,-6.0645e+01
744.9499999999991,-6.0794e+01
744.9999999999991,-6.1249e+01
745.049999999999,-6.0878e+01
745.099999999999,-6.0768e+01
745.149999999999,-6.0555e+01
745.1999999999989,-6.1549e+01
745.2499999999989,-6.1409e+01
745.2999999999988,-6.1180e+01
745.3499999999988,-6.1746e+01
745.3999999999987,-6.1593e+01
745.4499999999987,-6.2480e+01
745.4999999999986,-6.1469e+01
745.5499999999986,-6.1186e+01
745.5999999999985,-6.1238e+01
745.6499999999985,-6.0947e+01
745.6999999999985,-6.0315e+01
745.7499999999984,-6.0458e+01
745.7999999999984,-6.0752e+01
745.8499999999983,-6.0506e+01
745.8999999999983,-6.0867e+01
745.9499999999982,-6.1018e+01
745.9999999999982,-6.1500e+01
